Anthropology|240
Astronomy|240
Biophysics|240
Business Administration|240
Business Economics|240
Celtic Languages and Literatures|240
The Classics|240
Computer science|240
Data Science|240
Economics|240
Education|240
Engineering and Applied Sciences|240
English|240
Germanic Languages and Literatures|240
Inner Asian and Altaic Studies|240
Materials Science and Mechanical Engineering|240
Mathematics|240
Philosophy|240
Physics|240
Political Economy and Government|240
Population Health Sciences|300
Speech and Hearing Bioscience and Technology|300
Virology|300
